Word1	Word2	Score
hope	adore	0.9405133060001339
admire	hope	0.9986509344371927
admire	desire	0.6668458168859688
bless	admire	1.3057329381747502
hope	need	0.8652125691846582
entertain	enjoy	0.6625035645444518
care	need	0.9120012143144423
please	desire	0.7910062752859524
need	rejoice	1.2914330536085075
respect	yearn	1.1636941595686157
care	approve	0.9103488129527104
yearn	need	0.6812589188915669
want	crave	0.36555828195758194
amuse	amaze	0.7994621428000547
hope	entertain	1.200506137454765
need	entertain	1.3834495676405336
please	need	1.0045581802276748
care	bless	1.1946172495611243
please	feel	1.0864498326062029
enjoy	hope	1.0839785046953347
prefer	attract	0.7831580558007957
entertain	respect	1.1763785557868287
admire	want	0.7209710138815906
approve	desire	1.0756169839516954
admire	like	0.6528535363845779
prefer	rejoice	1.2887340154628004
admire	celebrate	1.4465885347162146
bless	hope	0.9827293786753003
bless	like	1.1539271865110126
approve	attract	1.0761947498606437
prefer	enjoy	1.1909604123893525
adore	please	0.8068380696428418
like	feel	0.995562426196423
attract	hope	0.9147528707614268
celebrate	bless	0.8497747382522824
celebrate	attract	1.3751030093223948
celebrate	like	1.1567676774289068
like	approve	0.8986963902100017
yearn	entertain	1.1103336634776912
approve	bless	1.1742517219455126
care	amuse	1.1135478041580615
need	amuse	1.2713868317789214
amuse	adore	1.0335542432679072
celebrate	rejoice	0.4723953775650757
amuse	enjoy	0.4888307835145058
amuse	want	1.0361808687963512
feel	admire	1.0034735983118936
attract	want	0.5067647197662347
please	enjoy	0.6786243618313273
feel	respect	0.8358739579790689
respect	want	1.117443859352826
crave	approve	1.1693074949376194
want	desire	0.4203455958646126
rejoice	entertain	0.9727112426355065
rejoice	approve	1.2481977807411173
respect	rejoice	1.3617337041324868
amaze	approve	1.2456842707550189
adore	like	0.648104396133251
hope	like	1.0573697801335462
crave	amaze	0.8708444136525182
crave	amuse	1.1783485997124192
amuse	admire	1.13125022382857
yearn	rejoice	1.0668842359648223
hope	amaze	0.8286684127983707
rejoice	care	1.4042675837215286
want	amaze	0.8187667844852621
admire	rejoice	1.3787494694341258
approve	hope	1.0950000436037677
hope	crave	0.8180146662178264
hope	yearn	0.8542815871353081
bless	prefer	1.1911813514035123
yearn	feel	1.1228390825279537
crave	care	0.8862168464263347
desire	crave	0.46704852588679974
like	yearn	0.7724346478222646
enjoy	approve	1.0480470616055007
like	care	0.6884851393043387
need	feel	1.1375846448948965
prefer	amuse	1.103885663401973
hope	please	1.0766951627908337
amaze	prefer	1.2496942073632054
amuse	feel	1.1077073469272785
feel	entertain	1.136851627386377
enjoy	celebrate	0.8317192520153621
feel	prefer	0.962928031796275
enjoy	bless	1.0540714528007322
want	like	0.7025433405973411
approve	please	1.125048653454568
rejoice	please	0.9682766453067275
desire	rejoice	1.1604185454080798
adore	respect	0.9194463062181665
hope	rejoice	0.9797424617537203
